Time,RigidBody,x,y,z,qx,qy,qz,qw,Δx,Δy,Δz,Δqx,Δqy,Δqz,Δqw,ST_A_x_interp,ST_A_y_interp,ST_A_z_interp
1749908445,snake_tip,0.142799005,-0.032159075,1.195222855,0.050500065,-0.03133646,-0.270987868,0.960746229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
1749908445,ST_C,0.179118052,0.030277131,1.692759991,-0.032291934,-0.045365106,-0.177615002,0.982523382,0.03631904699999999,0.062436206,0.49753713600000005,-0.08736941562035531,0.004924741590378008,0.09230611661452792,0.9918779728222473,,,
1749908445,ST_A,0.116019376,-0.139256224,1.672396898,0.096420445,-0.022741707,-0.46272108,0.880951226,-0.026779629000000013,-0.107097149,0.477174043,0.05648480095514406,0.002995557529732171,-0.20395742863147284,0.977344290003365,0.116019376,-0.139256224,1.672396898
1749908445,ST_B,0.187532648,-0.094720431,1.700926065,0.08199092,0.048684172,-0.497559905,0.862172544,0.04473364299999999,-0.06256135599999998,0.5057032100000001,0.06401728418339288,0.07669883358573165,-0.23936264556111028,0.9657766823455396,,,
1749908445,ST_D,0.045808792,-0.055868559,1.689815402,0.05843588,0.028954078,-0.011980853,0.997799218,-0.096990213,-0.023709483999999996,0.4945925470000001,0.01397476819188175,0.04385463843322539,0.2621742952889552,0.963922255906364,,,
1749908445,snake_tip,0.142969057,-0.032507777,1.195019245,0.052649193,-0.031540237,-0.271883845,0.960370958,0.00017005200000000387,-0.00034870199999999935,-0.00020361000000002072,0.0020565735894235194,-0.0007446784051383624,-0.0009054451467091574,0.9999971980601898,,,
1749908445,ST_C,0.179303244,0.030611042,1.69289887,-0.026754431,-0.045450825,-0.17508848,0.983139098,0.036504238999999994,0.062770117,0.49767601500000014,-0.08218277563574845,0.0032334961154891315,0.09506951194759654,0.9920671972148465,,,
1749908445,ST_A,0.11639037,-0.139249563,1.672703266,0.084514797,-0.011565343,-0.452237695,0.887808919,-0.026408635,-0.10709048799999998,0.47748041100000016,0.047400323085156265,0.016644976602837442,-0.1918358614187264,0.9801403758641152,0.11639037,-0.139249563,1.672703266
1749908445,ST_B,0.187761649,-0.094624206,1.70100534,0.070712499,0.056564618,-0.496824205,0.863114059,0.044962643999999996,-0.062465131,0.5057824850000001,0.05524648899617766,0.08731860991240983,-0.23835615188415635,0.9656653823532957,,,
1749908445,ST_D,0.045537807,-0.0558911,1.689959764,0.138464332,0.043621581,0.014597259,0.989298582,-0.09726119800000001,-0.023732024999999997,0.494736909,0.0944329373290305,0.03465106911878534,0.28865405708200964,0.9521347378845247,,,
1749908445,snake_tip,0.144992366,-0.033635817,1.195145249,0.052158296,-0.033634268,-0.271827847,0.960342586,0.0021933610000000048,-0.0014767419999999962,-7.76059999998413e-05,0.001017167063201473,-0.0026272006237577465,-0.0009804653844193956,0.9999955509279419,,,
1749908445,ST_C,0.179150522,0.030388998,1.692868829,-0.032593474,-0.0442666,-0.179409161,0.982237518,0.036351517,0.06254807300000001,0.4976459740000001,-0.08729077813614967,0.0061434879127951,0.09055094451446237,0.9920398701948373,,,
1749908445,ST_A,0.116282187,-0.139294297,1.672816515,0.085563891,-0.012360409,-0.452406138,0.887611806,-0.02651681800000001,-0.107135222,0.47759366000000014,0.04820801858917563,0.015599158787110151,-0.19205839575782335,0.980074602164433,0.116282187,-0.139294297,1.672816515
1749908445,ST_B,0.187576786,-0.094647042,1.701157928,0.048152357,0.071749203,-0.495720237,0.864172935,0.04477778099999999,-0.062487967,0.5059350730000001,0.03759868724677892,0.10799809731814725,-0.2369487051685605,0.9647683974985507,,,
1749908445,ST_D,0.045420896,-0.055907972,1.69002521,0.143880993,0.044241734,0.016651621,0.988465309,-0.097378109,-0.023748896999999998,0.494802355,0.09978273010197948,0.033649171472593664,0.2906030221925158,0.9510315575863819,,,
1749908445,snake_tip,0.146904647,-0.03494782,1.195073247,0.051570483,-0.03487353,-0.271691144,0.960368752,0.004105641999999993,-0.0027887449999999953,-0.00014960799999985674,0.00011099779935899376,-0.003664610509179881,-0.0009230406679440748,0.9999928531270761,,,
1749908445,ST_C,0.178982511,0.0307253,1.693286777,-0.023287419,-0.044242069,-0.173183575,0.98361975,0.036183506000000004,0.062884375,0.49806392200000005,-0.07860826511174457,0.0033741498179511516,0.09719957977267848,0.992149987381516,,,
1749908445,ST_A,0.116221145,-0.139268652,1.672713995,0.086623862,-0.013115926,-0.452230692,0.887587607,-0.02657786000000001,-0.10710957699999998,0.47749114000000015,0.04901736782095491,0.014576440384706442,-0.1919013236995033,0.9800809696142431,0.116221145,-0.139268652,1.672713995
1749908445,ST_B,0.187576696,-0.094617032,1.701016068,0.060659718,0.065218523,-0.496613145,0.863390028,0.04477769099999998,-0.062457957,0.505793213,0.04791286960618266,0.09835498630566941,-0.23795658472168393,0.9650944603418385,,,
