case,time,act1,act2,x,y,z,del_x,del_y,del_z,qx,qy,qz,qw,act1_norm,act2_norm
case1_processed.csv,1749907678.0,0.0,0.0,0.09005236400000001,-0.11646946033333334,1.209292809,0.0,0.0,0.0,-0.1924736256054905,0.020467390632771854,-0.2676074398875469,0.9438862471102097,0.0,0.0
case1_processed.csv,1749907678.1,0.0028859331092116365,-0.00025015000486751853,0.08872003084,-0.12455688426000001,1.21326941594,-0.0013323331600000002,-0.008087423926666663,0.003976606940000016,-0.21448005267573367,0.01812795420517652,-0.2661998616648764,0.939578265994989,0.032009656179404954,-0.0027745673049480737
case1_processed.csv,1749907678.2,0.005771866218423273,-0.0005003000097350371,0.08738769768000001,-0.13264430818666667,1.21724602288,-0.0026646663200000005,-0.016174847853333327,0.007953213880000032,-0.23637703148171677,0.015779267159178264,-0.26465644277804146,0.9347908220622858,0.06401931235880991,-0.005549134609896147
case1_processed.csv,1749907678.3,0.008657799327634911,-0.0007504500146025557,0.08605536452000001,-0.14073173211333334,1.22122262982,-0.003996999480000001,-0.024262271779999994,0.01192982082000005,-0.2581533880877149,0.013422528019848595,-0.2629779708271758,0.9295263583245024,0.09602896853821488,-0.008323701914844222
case1_processed.csv,1749907678.4,0.011543732436846546,-0.0010006000194700741,0.08472303136,-0.14881915604,1.22519923676,-0.005329332640000001,-0.032349695706666654,0.015906427760000064,-0.2797980101110021,0.01105893942120826,-0.2611653023294211,0.9237875612152308,0.12803862471761981,-0.011098269219792295
case1_processed.csv,1749907678.5,0.014429665546058183,-0.0012507500243375926,0.0833906982,-0.15690657996666665,1.2291758437,-0.006661665800000001,-0.04043711963333332,0.01988303470000008,-0.30129985239245294,0.008689707492528091,-0.2592193622818494,0.9175773592183777,0.16004828089702478,-0.013872836524740367
case1_processed.csv,1749907678.6,0.017315598655269823,-0.0015009000292051113,0.08205836504,-0.16499400389333332,1.23315245064,-0.007993998960000002,-0.04852454355999999,0.0238596416400001,-0.32264794263284086,0.006316041242846397,-0.25714114368944135,0.9108989213737712,0.19205793707642976,-0.016647403829688445
case1_processed.csv,1749907678.7,0.02020153176448146,-0.0017510500340726298,0.08072603188000001,-0.17308142781999997,1.23712905758,-0.009326332120000003,-0.05661196748666665,0.027836248580000115,-0.343831386991956,0.003939151944016798,-0.25493170705836005,0.9037556556600133,0.2240675932558347,-0.019421971134636517
case1_processed.csv,1749907678.8,0.023087464873693092,-0.0020012000389401483,0.07939369872,-0.18116885174666664,1.24110566452,-0.010658665280000002,-0.06469939141333331,0.03181285552000013,-0.36483937564768526,0.001560252512601189,-0.2525921798547787,0.8961512072554025,0.25607724943523963,-0.02219653843958459
case1_processed.csv,1749907678.9,0.02597339798290473,-0.0022513500438076667,0.07806136556000001,-0.1892562756733333,1.24508227146,-0.011990998440000003,-0.07278681533999998,0.03578946246000014,-0.38566118831221996,-0.0008194431090763066,-0.25012375592954006,0.8880894566778154,0.2880869056146446,-0.02497110574453266
case1_processed.csv,1749907679.0,0.028859331092116365,-0.0025015000486751852,0.07672903240000001,-0.19734369959999998,1.2490588784,-0.013323331600000002,-0.08087423926666663,0.03976606940000016,-0.40628619970257235,-0.0031987205723990886,-0.24752769490893914,0.879574517804494,0.32009656179404955,-0.027745673049480734
case1_processed.csv,1749907679.1,0.02881294782060507,-0.0019622838186319283,0.07702291049000001,-0.19624474372999998,1.24857094047,-0.013029453510000004,-0.07977528339666665,0.039278131470000165,-0.4058354297040116,-0.0033273631197865117,-0.24785189710821895,0.8796908375966447,0.3195820964487463,-0.021764894744208577
case1_processed.csv,1749907679.2,0.02876656454909377,-0.0014230675885886714,0.07731678858,-0.19514578785999998,1.24808300254,-0.012735575420000004,-0.07867632752666663,0.03879019354000017,-0.4053845223789163,-0.0034560045412612797,-0.24817601543940926,0.8798068597191357,0.31906763110344305,-0.015784116438936416
case1_processed.csv,1749907679.3,0.02872018127758247,-0.0008838513585454141,0.07761066667000001,-0.19404683198999997,1.24759506461,-0.012441697330000005,-0.07757737165666663,0.038302255610000176,-0.4049334778798644,-0.0035846447932937255,-0.2485000497928351,0.8799225841327075,0.3185531657581398,-0.009803338133664253
case1_processed.csv,1749907679.4,0.02867379800607117,-0.0003446351285021573,0.07790454476,-0.19294787611999997,1.24710712668,-0.012147819240000003,-0.07647841578666663,0.03781431768000019,-0.4044822963594803,-0.00371328383235458,-0.24882400005884964,0.8800380107982015,0.31803870041283655,-0.003822559828392094
case1_processed.csv,1749907679.5,0.02862741473455987,0.00019458110154109962,0.07819842285,-0.19184892024999997,1.24661918875,-0.011853941150000005,-0.07537945991666663,0.037326379750000194,-0.4040309779704348,-0.003841921614914984,-0.24914786612783477,0.8801531396765597,0.3175242350675333,0.002158218476880065
case1_processed.csv,1749907679.6,0.02858103146304857,0.000733797331584357,0.07849230094000001,-0.19074996437999997,1.24613125082,-0.011560063060000006,-0.07428050404666663,0.0368384418200002,-0.4035795228654448,-0.003970558097446502,-0.24947164789020063,0.8802679707288245,0.31700976972223005,0.00813899678215223
case1_processed.csv,1749907679.7,0.028534648191537275,0.0012730135616276137,0.07878617903,-0.18965100850999994,1.2456433128900002,-0.011266184970000006,-0.07318154817666662,0.036350503890000205,-0.4031279311972737,-0.004099193236421141,-0.24979534523638605,0.8803825039161396,0.3164953043769268,0.014119775087424387
case1_processed.csv,1749907679.8,0.02848826492002598,0.0018122297916708706,0.07908005712,-0.18855205263999997,1.2451553749600002,-0.010972306880000008,-0.07208259230666662,0.03586256596000022,-0.40267620311873104,-0.004227826988311359,-0.25011895805685835,0.880496739199749,0.31598083903162355,0.02010055339269655
case1_processed.csv,1749907679.9,0.028441881648514678,0.0023514460217141275,0.07937393521000001,-0.18745309676999997,1.2446674370300002,-0.010678428790000007,-0.07098363643666662,0.03537462803000022,-0.4022243387826725,-0.004356459309590088,-0.25044248624211346,0.8806106765409982,0.3154663736863203,0.026081331697968706
case1_processed.csv,1749907680.0,0.028395498377003378,0.0028906622517573845,0.0796678133,-0.18635414089999996,1.2441794991000001,-0.010384550700000009,-0.06988468056666662,0.03488669010000023,-0.4017723383419998,-0.004485090156730747,-0.250765929682676,0.8807243159013329,0.31495190834101705,0.032062110003240864
case1_processed.csv,1749907680.1,0.022536009744637833,0.002770363315567479,0.08404082086,-0.17179670678999998,1.2394838857200001,-0.006011543140000009,-0.05532724645666663,0.03019107672000019,-0.3627962104571383,-0.004555912525649448,-0.2548141428851124,0.8963414003183854,0.249960721985908,0.03072780063415123
case1_processed.csv,1749907680.2,0.016676521112272292,0.002650064379377573,0.08841382842,-0.15723927267999996,1.23478827234,-0.0016385355800000116,-0.04076981234666663,0.02549546334000015,-0.32317451395576785,-0.004618627990302491,-0.25840893345261556,0.9103635125139969,0.18496953563079888,0.029393491265061602
case1_processed.csv,1749907680.3,0.01081703247990674,0.0025297654431876673,0.09278683598000001,-0.14268183856999997,1.23009265896,0.0027344719799999887,-0.02621237823666663,0.020799849960000102,-0.2829777526718781,-0.004673124953229423,-0.2615439047252801,0.9227657011923442,0.11997834927568976,0.028059181895971966
case1_processed.csv,1749907680.4,0.004957543847541199,0.0024094665069977613,0.09715984354,-0.12812440445999998,1.2253970455799998,0.007107479539999988,-0.011654944126666636,0.016104236580000063,-0.24227745372406123,-0.004719306441176532,-0.26421347825711067,0.9335258975898736,0.0549871629205807,0.026724872526882333
case1_processed.csv,1749907680.5,-0.0009019447848243444,0.0022891675708078558,0.10153285109999999,-0.11356697034999998,1.2207014321999998,0.011480487099999985,0.0029024899833333603,0.011408623200000023,-0.20114604023837512,-0.004757090277653496,-0.2664129037424484,0.9426249547450084,-0.010004023434528386,0.0253905631577927
case1_processed.csv,1749907680.6,-0.0067614334171898945,0.00216886863461795,0.10590585866,-0.09900953623999997,1.2160058188199998,0.015853494659999988,0.01745992409333337,0.0067130098199999775,-0.15965670247682814,-0.004786409229160231,-0.2681382674687826,0.9500466815687303,-0.07499520978963753,0.024056253788703068
case1_processed.csv,1749907680.7,-0.012620922049555438,0.002048569698428044,0.11027886622,-0.08445210212999997,1.2113102054399998,0.020226502219999984,0.03201735820333336,0.0020173964399999387,-0.11788326760080349,-0.004807211124823879,-0.2693864992809085,0.9557778716554051,-0.13998639614474662,0.022721944419613435
case1_processed.csv,1749907680.8,-0.01848041068192098,0.0019282707622381387,0.11465187378,-0.06989466801999998,1.2066145920599998,0.024599509779999983,0.04657479231333335,-0.002678216940000102,-0.07590006830116834,-0.004819458949233052,-0.2701553780440381,0.9598083267825913,-0.20497758249985568,0.021387635050523802
case1_processed.csv,1749907680.9,-0.024339899314286526,0.0018079718260482329,0.11902488134,-0.05533723390999999,1.2019189786799997,0.028972517339999983,0.061132226423333345,-0.007373830320000142,-0.033781810528832015,-0.0048231309083037605,-0.27044353559614237,0.9621308750580108,-0.2699687688549648,0.020053325681434173
case1_processed.csv,1749907681.0,-0.030199387946652067,0.001687672889858327,0.12339788889999999,-0.040779799799999995,1.1972233652999997,0.03334552489999998,0.07568966053333334,-0.012069443700000182,0.008396559438884725,-0.004818220468060568,-0.2702504591824933,0.9627413836813924,-0.3349599552100738,0.01871901631234454
case1_processed.csv,1749907681.1,-0.031527548065021616,0.0017564019042647743,0.12394500262,-0.03810269934,1.1971811568599997,0.033892638619999985,0.07836676099333334,-0.012111652140000161,0.016876396263699404,-0.004386452634800622,-0.27017218491825645,0.9626541106643283,-0.34969139462026194,0.019481332013175433
