Time,x,y,z,qx,qy,qz,qw,Δx,Δy,Δz,Δqx,Δqy,Δqz,Δqw,ST_A_x_interp,ST_A_y_interp,ST_A_z_interp
1749907752.0,,,,,,,,,,,,,,,,,
1749907752.0230231,0.04440510757611275,-0.05836979687070942,1.6936640358785482,0.2287950956345172,0.22412955995009326,-0.20684053820079948,0.9242553569381475,-0.08640893842388715,-0.018802325870709416,0.4992190218785482,0.24814043029097793,0.17344978289440952,0.05880319942824393,0.9510498909588164,,,
1749907752.046046,0.04418281945417881,-0.05824151806983805,1.6937380259908756,0.22670341092993332,0.22238115300619746,-0.2080617137554481,0.9247190020749164,-0.08663122654582109,-0.01867404706983804,0.49929301199087556,0.245656680940135,0.1723760888688781,0.05766098150323386,0.9517653042674928,,,
1749907752.0690691,0.04396052903029156,-0.05811323794054747,1.6938120168694237,0.2246117045644505,0.22063272795629071,-0.20928290195624757,0.9251826520130639,-0.08685351696970833,-0.018545766940547458,0.4993670028694237,0.24317290586828186,0.17130238372447312,0.05651875174973599,0.9524807249847884,,,
1749907752.092092,0.043738240908357616,-0.05798495913967609,1.693886006981751,0.22252001985986664,0.2188843210123949,-0.2105040775108962,0.9256462971498327,-0.08707580509164227,-0.018417488139676086,0.49944099298175104,0.24068915651743894,0.1702286896989417,0.05537653382472592,0.9531961382934648,,,
1749907752.1151152,0.043515950484470364,-0.05785667901038551,1.6939599978602993,0.22042831349438383,0.21713589596248817,-0.21172526571169567,0.9261099470879803,-0.08729809551552953,-0.018289208010385503,0.4995149838602992,0.23820538144558578,0.1691549845545367,0.05423430407122805,0.9539115590107604,,,
1749907752.138138,0.04329366236253643,-0.05772840020951414,1.6940339879726265,0.21833662878979992,0.21538748901859237,-0.21294644126634432,0.9265735922247491,-0.08752038363746346,-0.018160929209514128,0.4995889739726265,0.23572163209474284,0.16808129052900528,0.05309208614621798,0.9546269723194369,,,
1749907752.1611612,0.043071371938649176,-0.05760012008022356,1.6941079788511746,0.21624492242431712,0.21363906396868562,-0.21416762946714377,0.9270372421628966,-0.08774267406135072,-0.018032649080223544,0.4996629648511747,0.2332378570228897,0.1670075853846003,0.05194985639272011,0.9553423930367325,,,
1749907752.184184,0.04284908381671524,-0.05747184127935219,1.694181968963502,0.21415323771973324,0.21189065702478982,-0.21538880502179242,0.9275008872996655,-0.08796496218328466,-0.01790437027935217,0.499736954963502,0.23075410767204677,0.16593389135906889,0.05080763846771004,0.9560578063454089,,,
1749907752.2072072,0.04262679339282799,-0.05734356115006161,1.6942559598420501,0.21206153135425043,0.21014223197488308,-0.2166099932225919,0.927964537237813,-0.0881872526071719,-0.017776090150061586,0.49981094584205016,0.22827033260019364,0.1648601862146639,0.04966540871421217,0.9567732270627045,,,
1749907752.2302303,0.04240450296894074,-0.05721528102077103,1.6943299507205982,0.20996982498876762,0.20839380692497636,-0.21783118142339133,0.9284281871759605,-0.08840954303105916,-0.017647810020771003,0.4998849367205983,0.22578655752834048,0.1637864810702589,0.0485231789607143,0.9574886477800001,,,
1749907752.2532532,0.042182214847006794,-0.05708700221989966,1.6944039408329257,0.20787814028418375,0.20664539998108053,-0.21905235697803999,0.9288918323127294,-0.0886318311529931,-0.017519531219899628,0.49995892683292564,0.22330280817749754,0.16271278704472747,0.04738096103570423,0.9582040610886765,,,
1749907752.2762764,0.04195992442311954,-0.05695872209060907,1.6944779317114738,0.20578643391870094,0.20489697493117381,-0.22027354517883946,0.9293554822508769,-0.08885412157688034,-0.017391251090609045,0.5000329177114737,0.2208190331056444,0.1616390819003225,0.04623873128220636,0.9589194818059721,,,
