Time,RigidBody,x,y,z,qx,qy,qz,qw
1749908855,snake_tip,nan,nan,nan,nan,nan,nan,nan
1749908855,ST_C,nan,nan,nan,nan,nan,nan,nan
1749908855,ST_A,nan,nan,nan,nan,nan,nan,nan
1749908855,ST_B,nan,nan,nan,nan,nan,nan,nan
1749908855,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908855,snake_tip,0.076285765,-0.192605868,1.245246768,-0.403889626,0.006559275,-0.254066616,0.878794789
1749908855,ST_C,0.18607226,0.010554945,1.709426165,0.173643947,-0.061498638,-0.273626179,0.944030941
1749908855,ST_A,0.151022404,-0.14483273,1.743240356,-0.023077443,-0.093241461,-0.145072401,0.98474741
1749908855,ST_B,0.188143596,-0.101893999,1.690525413,0.133250251,0.131482586,-0.520287156,0.833221495
1749908855,ST_D,0.042967051,-0.058388587,1.688245416,0.28818047,0.057420719,0.078550786,0.95261991
1749908855,snake_tip,0.076747611,-0.191647395,1.245000243,-0.403058827,0.003368766,-0.254418612,0.879092395
1749908855,ST_C,0.18611756,0.010586807,1.709304094,0.174977288,-0.059095647,-0.273137927,0.944079578
1749908855,ST_A,0.15120177,-0.144814655,1.743081689,-0.059543725,-0.056086279,-0.129900172,0.98814708
1749908855,ST_B,0.188119724,-0.101940274,1.690385222,0.113722429,0.145442635,-0.517709255,0.835398555
1749908855,ST_D,0.042948879,-0.058390372,1.688256383,0.301484674,0.061719038,0.082985505,0.947845519
1749908855,snake_tip,0.082129069,-0.184070781,1.241450548,-0.394564033,-0.002803479,-0.255986363,0.882486403
1749908855,ST_C,0.186147451,0.01059059,1.709236622,0.18122445,-0.056245714,-0.271927565,0.943424404
1749908855,ST_A,0.150505528,-0.145092294,1.741422653,-0.018547731,-0.084736004,-0.158647329,0.983517528
1749908855,ST_B,0.188302755,-0.101837195,1.690024853,0.094027266,0.163088799,-0.515747488,0.835802257
1749908855,ST_D,0.042758107,-0.058285583,1.688192964,0.357240409,0.075449392,0.106759831,0.924818397
1749908855,snake_tip,0.087317884,-0.182915017,1.240598559,-0.392533541,-0.010389324,-0.258287698,0.88266474
1749908855,ST_C,0.186144873,0.010788759,1.709376574,0.179306149,-0.057671614,-0.272050738,0.94366926
1749908855,ST_A,0.149825543,-0.145009071,1.741589427,-0.028376559,-0.081912816,-0.1591153,0.983446658
1749908855,ST_B,0.188316688,-0.10166648,1.690899849,0.077734761,0.16791971,-0.51407522,0.837548196
1749908855,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908855,snake_tip,0.089958794,-0.185821921,1.241198063,-0.393615186,-0.015842389,-0.256835371,0.882525682
1749908855,ST_C,0.186170086,0.010888852,1.709463,0.178575888,-0.057654787,-0.272037894,0.94381249
1749908855,ST_A,0.149470389,-0.144991681,1.741445899,-0.022497779,-0.086009301,-0.164203644,0.98241204
1749908855,ST_B,0.188287124,-0.101670764,1.691193223,0.101516306,0.15079163,-0.518162251,0.835741699
1749908855,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908855,snake_tip,0.089638978,-0.185318038,1.240791917,-0.392326266,-0.013966741,-0.258984983,0.882503152
1749908855,ST_C,0.186125949,0.010949228,1.709511042,0.176206246,-0.059733313,-0.272304565,0.944051683
1749908855,ST_A,0.149349645,-0.144813582,1.741340041,-0.031671554,-0.078172714,-0.159053966,0.98366046
1749908855,ST_B,0.188317478,-0.101611525,1.691570878,0.090442374,0.157081112,-0.516861558,0.836659968
1749908855,ST_D,0.042667814,-0.058172844,1.68873477,0.355280906,0.074161835,0.109223619,0.925389409
1749908855,snake_tip,0.087777823,-0.179748416,1.238475442,-0.386037111,-0.011574216,-0.257136405,0.885845542
1749908855,ST_C,0.186185643,0.01083746,1.709332943,0.176983863,-0.058370858,-0.271908641,0.944105506
1749908855,ST_A,0.149062231,-0.144877791,1.740726113,-0.030968213,-0.082266718,-0.161864936,0.982890069
1749908855,ST_B,0.188328922,-0.10160476,1.690845728,0.102215409,0.142630875,-0.517723143,0.837359667
1749908855,ST_D,0.042683266,-0.058174677,1.688534737,0.359918177,0.075164706,0.110085182,0.923412383
1749908856,snake_tip,0.083621658,-0.173403576,1.236598372,-0.380580276,0.000373781,-0.260741204,0.887227476
1749908856,ST_C,0.1861725,0.010716856,1.70925796,0.177949429,-0.059042409,-0.272642493,0.943670511
1749908856,ST_A,0.148433253,-0.145129904,1.740078568,-0.007063413,-0.094293408,-0.17514357,0.979991674
1749908856,ST_B,0.188220188,-0.10169328,1.690795064,0.120689034,0.127247408,-0.520390809,0.835724652
1749908856,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908856,snake_tip,0.080845177,-0.170733333,1.235856414,-0.377990633,0.004181102,-0.257581592,0.889245331
