x,y,z,qx,qy,qz,qw,act1,act2
0.103361145,-0.090821572,1.201710343,-0.131278321,0.015278244,-0.269182086,0.953977764,0.0,0.0
0.074679792,-0.157684803,1.225674152,-0.300014317,0.016895302,-0.257913291,0.918251932,-0.009545317127492181,-0.0011088879684829078
0.075949833,-0.204440773,1.25373435,-0.43397212,-0.005484954,-0.244290233,0.867156446,-0.008089867296495523,-0.003549620275274723
0.104983553,-0.108084485,1.207028866,-0.200354263,-0.001042344,-0.267590314,0.942471504,-0.0008898739148917034,0.0005137655636712757
0.118616141,-0.010129143,1.196916342,0.092523538,0.008688567,-0.26836729,0.958823621,-0.010540365268722152,0.004231048149890282
0.138118252,-0.017445676,1.196798801,0.09325631,-0.008073642,-0.26943469,0.958458722,-0.00976652715775983,-0.00163331668621991
0.121081583,-0.048454925,1.1943506,-5.26e-05,-0.005507792,-0.269232601,0.963059425,0.0017875843076080589,-0.0018711074566644115
0.08893653,-0.13396278,1.216835976,-0.256559223,0.010948692,-0.263089746,0.929968417,-0.0035418495331458466,-0.002348962553744338
0.077191666,-0.202114627,1.251234412,-0.417402476,-0.006547421,-0.249956489,0.873644173,-0.008991827764409432,-0.006054906801865767
0.077725828,-0.203014702,1.252479434,-0.428949565,-0.007873111,-0.247410148,0.868751168,-0.007225421168587709,-0.002900507824053322
0.09277834,-0.132510573,1.216494441,-0.276267916,0.004269381,-0.263612837,0.924211025,-0.001850626207607342,0.0020459506419002182
0.120495975,-0.038028561,1.194740653,0.040517956,-0.006598386,-0.269643724,0.962084711,-0.017236984759063767,0.0005791387800611059
0.132451415,-0.046657663,1.194162607,0.004708338,-0.016577341,-0.269009858,0.962983251,0.004086441225786719,-0.005061636362933664
0.089964062,-0.204718083,1.252256036,-0.427823633,-0.026975697,-0.250138223,0.86814177,-0.00644632459798411,-0.010204769190711116
0.070529245,-0.210651413,1.257510185,-0.449073106,0.000797603,-0.243097961,0.859788418,-0.009549518427594994,-0.004913535557348858
0.068872191,-0.176910505,1.24117136,-0.401364684,0.018055251,-0.248971835,0.881245375,-0.004768489692208444,0.0005620136295401701
0.141812578,-0.019139249,1.19504571,0.056359183,-0.020754794,-0.269542813,0.961113691,0.010853209313666623,-0.004753099499438029
0.125470608,-0.037557669,1.194180965,0.026348531,-0.010710342,-0.268709868,0.962801158,0.0013284661596638658,-0.0011084534650722677
0.091463298,-0.126348302,1.208883882,-0.190672591,0.014609651,-0.268882602,0.943998218,-0.007980833648490449,0.00179997836669199
0.085079856,-0.189954624,1.246243596,-0.41307053,-0.013427972,-0.251753777,0.87510711,-0.0036548441866198766,-0.007164389250401526
0.082479328,-0.199456796,1.251064539,-0.429759473,-0.012298686,-0.249014571,0.867840588,-0.005625494329949077,-0.007283962774283281
0.130814046,-0.039567471,1.194445014,0.037320882,-0.01193751,-0.267099559,0.962871969,0.0,0.0
0.131012991,-0.038896259,1.195546031,0.040323906,-0.014366215,-0.275030732,0.960482001,0.00035417192996706204,-0.0004233009934894172
