Time,RigidBody,x,y,z,qx,qy,qz,qw
1749907906,snake_tip,0.248941705,-0.065719135,1.233294964,0.0571809,-0.332966238,-0.254832625,0.906048656
1749907906,ST_D,0.043752562,-0.056636948,1.695456862,0.242325783,0.289640605,-0.249717355,0.891643345
1749907906,ST_C,0.18313399,0.015624305,1.703285336,0.11335171,-0.028970627,-0.255669624,0.959658802
1749907906,ST_A,0.126696885,-0.140275121,1.687180996,0.047384262,-0.039265607,-0.342209488,0.937606335
1749907906,ST_B,0.194636226,-0.090145864,1.733732104,-0.08908578,0.099112697,0.166456863,0.977001846
1749907906,snake_tip,0.249927238,-0.067258984,1.237434626,0.056988116,-0.360729188,-0.251069963,0.896432161
1749907906,ST_D,0.043802578,-0.056660321,1.695352554,0.229012892,0.28470695,-0.25666225,0.894773483
1749907906,ST_C,0.18311055,0.015542057,1.702733278,0.108455457,-0.027486091,-0.256975621,0.959919512
1749907906,ST_A,0.127642676,-0.139821947,1.687776446,0.080041051,-0.082345694,-0.363570303,0.924461603
1749907906,ST_B,0.199709862,-0.07893867,1.738323808,-2.67E-05,-0.048746865,0.256183296,0.965398252
1749907906,snake_tip,0.254074872,-0.068131149,1.242327452,0.054820795,-0.386000037,-0.24873206,0.88664037
1749907906,ST_D,0.043664951,-0.056661036,1.695548415,0.261499286,0.30262959,-0.24094224,0.884296477
1749907906,ST_C,0.183125839,0.015554801,1.702639341,0.107802585,-0.028295355,-0.256032497,0.960221469
1749907906,ST_A,0.133124128,-0.138673872,1.687893271,0.104435995,-0.102186464,-0.326859713,0.933709621
1749907906,ST_B,0.194827333,-0.091296799,1.740956783,-0.025427861,-0.010548905,0.132100627,0.990853906
1749907906,snake_tip,0.267510474,-0.069531329,1.249965191,0.054313932,-0.417717248,-0.242163822,0.87402457
1749907906,ST_D,0.044378296,-0.057139229,1.696024895,0.217518508,0.29072699,-0.256649852,0.895708859
1749907906,ST_C,0.1832975,0.015453118,1.702513695,0.112105995,-0.028005639,-0.255213529,0.959955215
1749907906,ST_A,0.13203913,-0.138756499,1.687318444,0.060924504,-0.053181004,-0.320684165,0.943727493
1749907906,ST_B,0.191714108,-0.096489057,1.744390965,0.023580074,-0.086708143,0.02357474,0.995675623
1749907907,snake_tip,0.283279866,-0.071230724,1.257160783,0.05354169,-0.441421241,-0.240352631,0.862850606
1749907907,ST_D,0.045969665,-0.058574762,1.698531747,0.312456459,0.398758888,-0.196810186,0.839421272
1749907907,ST_C,0.184022859,0.01657155,1.699954629,0.07203573,-0.019778533,-0.256461799,0.96366328
1749907907,ST_A,0.130850017,-0.13892886,1.688597202,0.028402757,-0.020917531,-0.307919502,0.950758278
1749907907,ST_B,0.192847177,-0.095206648,1.745601416,0.019519173,-0.069531292,0.062100288,0.995453596
1749907907,snake_tip,0.286594719,-0.070731312,1.258653998,0.055873711,-0.444814056,-0.239374295,0.86123085
1749907907,ST_D,0.046341538,-0.058461066,1.699095964,0.311196864,0.406137794,-0.197179899,0.836258709
1749907907,ST_C,0.187317237,0.019797927,1.688109398,-0.083411917,-0.032800592,-0.266486228,0.959662199
1749907907,ST_A,0.1336665,-0.138396174,1.688193679,0.043493744,-0.035266947,-0.284684628,0.95698446
1749907907,ST_B,0.193103299,-0.09477073,1.746398449,0.014846016,-0.08478374,0.05986432,0.994488597
1749907907,snake_tip,0.275525421,-0.068572231,1.253249168,0.056441203,-0.430890232,-0.241870075,0.867552221
1749907907,ST_D,0.046974506,-0.05811571,1.698943138,0.34975642,0.427932858,-0.180081874,0.813704133
1749907907,ST_C,0.186637536,0.020934733,1.685826063,-0.104383625,-0.038214769,-0.259527713,0.959316969
1749907907,ST_A,0.132914856,-0.138568088,1.687570214,0.050027601,-0.04165199,-0.303375036,0.950645089
1749907907,ST_B,0.191757813,-0.096492559,1.744895101,0.021483351,-0.077404819,0.040230811,0.995956004
1749907907,snake_tip,0.263125092,-0.067089669,1.248239636,0.055633005,-0.418216795,-0.241408631,0.873911619
1749907907,ST_D,0.046978336,-0.057832871,1.698680878,0.328222424,0.417681307,-0.195847929,0.824291229
1749907907,ST_C,0.186450168,0.021023801,1.686527967,-0.087831572,-0.031334858,-0.258729756,0.961437762
1749907907,ST_A,0.133116633,-0.138639674,1.687344313,0.054419231,-0.044369563,-0.299294651,0.951573789
1749907907,ST_B,0.19332549,-0.095288768,1.744558215,0.024950521,-0.08545585,0.068856947,0.993646622
1749907907,snake_tip,0.260272533,-0.068436176,1.247250319,0.052648824,-0.415546507,-0.242582306,0.875044584
1749907907,ST_D,0.046972509,-0.058004603,1.698597431,0.319506794,0.410935104,-0.200071871,0.830071688
1749907907,ST_C,0.186531946,0.020754842,1.685360789,-0.114951968,-0.041048255,-0.257143408,0.958633661
1749907907,ST_A,0.133175731,-0.13856703,1.687133908,0.040469714,-0.029778395,-0.291292667,0.955313504
1749907907,ST_B,0.192076281,-0.096423082,1.74420774,0.038478211,-0.109238908,0.038553577,0.992521942
