Time,RigidBody,x,y,z,qx,qy,qz,qw,Δx,Δy,Δz,Δqx,Δqy,Δqz,Δqw,ST_A_x_interp,ST_A_y_interp,ST_A_z_interp
1749908855,snake_tip,0.076285765,-0.192605868,1.245246768,-0.403889626,0.006559275,-0.254066616,0.878794789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
1749908855,ST_C,0.18607226,0.010554945,1.709426165,0.173643947,-0.061498638,-0.273626179,0.944030941,0.10978649499999998,0.20316081300000002,0.4641793970000001,0.5164621626600221,-0.21486874767445124,0.023085169992948865,0.8285923791224142,,,
1749908855,ST_A,0.151022404,-0.14483273,1.743240356,-0.023077443,-0.093241461,-0.145072401,0.98474741,0.074736639,0.04777313800000002,0.49799358800000015,0.35280781739904027,-0.1411293703119001,0.16051320359133184,0.9109580979882335,0.151022404,-0.14483273,1.743240356
1749908855,ST_B,0.188143596,-0.101893999,1.690525413,0.133250251,0.131482586,-0.520287156,0.833221495,0.11185783099999999,0.09071186900000001,0.44527864500000014,0.48362175767147253,-0.13391213835999197,-0.29951034367543905,0.8114623150449011,,,
1749908855,ST_D,0.042967051,-0.058388587,1.688245416,0.28818047,0.057420719,0.078550786,0.95261991,-0.033318714000000006,0.13421728100000002,0.4429986480000001,0.6531087113542086,0.0027213434173786262,0.2859770474872653,0.7011838088217072,,,
1749908855,snake_tip,0.076747611,-0.191647395,1.245000243,-0.403058827,0.003368766,-0.254418612,0.879092395,0.000461845999999988,0.0009584730000000152,-0.0002465249999998864,3.7391144126498186e-05,-0.003159000560600719,0.0010494435378663055,0.9999944589774592,,,
1749908855,ST_C,0.18611756,0.010586807,1.709304094,0.174977288,-0.059095647,-0.273137927,0.944079578,0.10983179499999998,0.20319267500000002,0.46405732600000005,0.5182672835580302,-0.2128988970304591,0.022547312385736457,0.8279883460174873,,,
1749908855,ST_A,0.15120177,-0.144814655,1.743081689,-0.059543725,-0.056086279,-0.129900172,0.98814708,0.07491600500000001,0.04779121300000003,0.49783492100000015,0.3316739682951678,-0.09310712603978943,0.159942835360948,0.9250630958224674,0.15120177,-0.144814655,1.743081689
1749908855,ST_B,0.188119724,-0.101940274,1.690385222,0.113722429,0.145442635,-0.517709255,0.835398555,0.11183395899999998,0.09066559400000002,0.44513845400000007,0.47090382044243,-0.11565585209212742,-0.30220202733205953,0.8206992448186856,,,
1749908855,ST_D,0.042948879,-0.058390372,1.688256383,0.301484674,0.061719038,0.082985505,0.947845519,-0.033336886,0.13421549600000002,0.443009615,0.6639932208408985,0.004940983360093993,0.2868379398479716,0.690516173325822,,,
