k,mse
1.3,0.016157202270666995
1.4000000000000001,0.01572163451976159
1.5000000000000002,0.015355549514910641
1.6000000000000003,0.0150460920599347
1.7000000000000004,0.01478301245403158
1.8000000000000005,0.014558129630524472
1.9000000000000006,0.014364894950476728
2.000000000000001,0.014198044607235963
2.1000000000000005,0.014053325980998212
2.200000000000001,0.013927283739543458
2.3000000000000007,0.013817093235462133
2.4000000000000012,0.02848759064910511
2.500000000000001,0.01904913129434367
2.6000000000000014,0.04939433395756326
2.700000000000001,0.027291092841332163
2.8000000000000016,0.03613668815419209
2.9000000000000012,0.038714923392174035
3.0000000000000018,0.03878207723847175
