Time,x,y,z,qx,qy,qz,qw,Δx,Δy,Δz,Δqx,Δqy,Δqz,Δqw,ST_A_x_interp,ST_A_y_interp,ST_A_z_interp
1749911595.0,,,,,,,,,,,,,,,,,
1749911595.038038,0.16938173061379433,0.06053197279402423,1.2854207384830647,0.5049836414389725,0.07363324369641137,-0.2905988855271091,0.8060403939661083,-0.005808599386205674,-0.012748816205975674,0.013672910483064647,-0.009159256305881328,-0.008124867624286535,0.014291390114006229,0.9971082923532001,,,
1749911595.076076,0.16553056322758866,0.05361413758804846,1.3020340659661294,0.5039851818779449,0.07026652539282274,-0.27665049105421824,0.8087725389322166,-0.009659766772411347,-0.01966665141195145,0.030286237966129295,-0.011330385077778556,-0.01786181565342837,0.024619174812081257,0.9942501567187181,,,
1749911595.114114,0.16167939584138297,0.04669630238207269,1.318647393449194,0.5029867223169174,0.06689980708923411,-0.2627020965813274,0.811504683898325,-0.013510934158617021,-0.02658448661792722,0.046899565449193936,-0.013501513849675784,-0.027598763682570204,0.034946959510156285,0.9913920210842362,,,
1749911595.152152,0.1578282284551773,0.03977846717609692,1.3352607209322587,0.5019882627558898,0.06353308878564548,-0.24875370210843656,0.8142368288644333,-0.017362101544822695,-0.033502321823902996,0.06351289293225859,-0.01567264262157301,-0.037335711711712044,0.04527474420823131,0.9885338854497542,,,
1749911595.19019,0.15397706106897163,0.03286063197012115,1.3518740484153233,0.5009898031948623,0.06016637048205686,-0.2348053076355457,0.8169689738305416,-0.021213268931028366,-0.04042015702987877,0.08012622041532323,-0.017843771393470237,-0.04707265974085388,0.05560252890630634,0.9856757498152723,,,
1749911595.2282283,0.15012586954402352,0.025942753403827436,1.368487480029108,0.49999133737558743,0.056799631076205497,-0.22085682573547552,0.8197011359214688,-0.025064460455976486,-0.047338035596172494,0.09673965202910802,-0.020014913773791353,-0.05680966880023853,0.06593037833793093,0.9828175962662743,,,
1749911595.2662663,0.14627470215781785,0.01902491819785166,1.3851008075121727,0.4989928778145599,0.053432912772616865,-0.20690843126258468,0.8224332808875771,-0.02891562784218216,-0.05425587080214827,0.11335297951217266,-0.02218604254568858,-0.06654661682938036,0.07625816303600595,0.9799594606317923,,,
1749911595.3043044,0.14242353477161215,0.012107082991875892,1.4017141349952373,0.49799441825353236,0.05006619446902824,-0.1929600367896938,0.8251654258536854,-0.03276679522838784,-0.061173706008124044,0.1299663069952373,-0.02435717131758581,-0.07628356485852218,0.08658594773408099,0.9771013249973104,,,
1749911595.3423424,0.1385723673854065,0.005189247785900124,1.418327462478302,0.49699595869250485,0.04669947616543961,-0.17901164231680297,0.8278975708197936,-0.03661796261459351,-0.06809154121409981,0.14657963447830197,-0.026528300089483037,-0.08602051288766402,0.09691373243215601,0.9742431893628284,,,
1749911595.3803804,0.13472119999920082,-0.0017285874200756446,1.4349407899613666,0.49599749913147734,0.04333275786185098,-0.1650632478439121,0.8306297157859021,-0.040469130000799186,-0.07500937642007559,0.1631929619613666,-0.02869942886138026,-0.09575746091680586,0.10724151713023104,0.9713850537283465,,,
1749911595.4184184,0.13087003261299515,-0.00864642262605142,1.4515541174444313,0.49499903957044983,0.03996603955826235,-0.15111485337102126,0.8333618607520104,-0.04432029738700486,-0.08192721162605136,0.17980628944443125,-0.03087055763327749,-0.10549440894594769,0.11756930182830606,0.9685269180938645,,,
1749911595.4564564,0.12701886522678946,-0.015564257832027181,1.468167444927496,0.49400058000942226,0.03659932125467372,-0.1371664588981304,0.8360940057181186,-0.048171464773210534,-0.08884504683202714,0.1964196169274959,-0.033041686405174714,-0.11523135697508953,0.1278970865263811,0.9656687824593826,,,
