case,time,act_A,act_B,act_C,act_D,x,y,z,del_x,del_y,del_z,qx,qy,qz,qw,act_A_norm,act_B_norm,act_C_norm,act_D_norm,r6d_1,r6d_2,r6d_3,r6d_4,r6d_5,r6d_6,act_A_norm_t1,act_B_norm_t1,act_C_norm_t1,act_D_norm_t1,del_x_t1,del_y_t1,del_z_t1,r6d_1_t1,r6d_2_t1,r6d_3_t1,r6d_4_t1,r6d_5_t1,r6d_6_t1,qx_t1,qy_t1,qz_t1,qw_t1
../raw_mocap_data/Case1.csv,1749907678.1,0.003405032076837586,-0.0006305291488558362,0.00043982245571522974,-0.00032173411750767905,0.093511192,-0.11532364445999999,1.2105397281799999,-0.0018646843999999996,-0.00911333946,0.004279905580000021,-0.1926034017547824,0.016268670300901997,-0.2670191497545095,0.9441080624925864,0.041641060246755,-0.007710911874647043,0.005378708030651893,-0.003934573733301381,0.8568722080620389,-0.510456666730257,0.07213882755854588,0.4979230617623341,0.7832094065937296,-0.37236494194314423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8552859337760582,-0.5151967311454239,0.05530189600625137,0.5028287573924831,0.7994780200862988,-0.32863069871517375,-0.1680549587280101,0.018398703981353265,-0.2683626665610876,0.9483672799790996
../raw_mocap_data/Case1.csv,1749907678.2,0.006810064153675172,-0.0012610582977116724,0.0008796449114304595,-0.0006434682350153581,0.09164650760000001,-0.12443698392,1.21481963376,-0.0037293687999999992,-0.01822667892,0.008559811160000041,-0.2170310614414928,0.014128434389755919,-0.26550818281738336,0.9392567862774719,0.08328212049351,-0.015421823749294086,0.010757416061303786,-0.007869147466602762,0.8586115843974108,-0.5048933432710844,0.08870658971640875,0.49262810682262353,0.7648058464531801,-0.4151982244656076,0.041641060246755,-0.007710911874647043,0.005378708030651893,-0.003934573733301381,-0.0018646843999999996,-0.00911333946,0.004279905580000021,0.8568722080620389,-0.510456666730257,0.07213882755854588,0.4979230617623341,0.7832094065937296,-0.37236494194314423,-0.1926034017547824,0.016268670300901997,-0.2670191497545095,0.9441080624925864
../raw_mocap_data/Case1.csv,1749907678.3,0.010215096230512758,-0.0018915874465675088,0.0013194673671456895,-0.0009652023525230372,0.0897818232,-0.13355032338,1.21909953934,-0.0055940532,-0.02734001838,0.012839716740000064,-0.24132261898120452,0.011979338409265827,-0.2638307132907792,0.9338164936130693,0.12492318074026501,-0.023132735623941133,0.016136124091955677,-0.011803721199904145,0.8604997003515101,-0.4985207138224331,0.10496362981973027,0.48695717254808846,0.7443134965850623,-0.4570231185676387,0.08328212049351,-0.015421823749294086,0.010757416061303786,-0.007869147466602762,-0.0037293687999999992,-0.01822667892,0.008559811160000041,0.8586115843974108,-0.5048933432710844,0.08870658971640875,0.49262810682262353,0.7648058464531801,-0.4151982244656076,-0.2170310614414928,0.014128434389755919,-0.26550818281738336,0.9392567862774719
../raw_mocap_data/Case1.csv,1749907678.4,0.013620128307350344,-0.0025221165954233448,0.001759289822860919,-0.0012869364700307162,0.0879171388,-0.14266366283999998,1.22337944492,-0.0074587375999999985,-0.03645335784,0.017119622320000083,-0.2654628409178715,0.009822730077012362,-0.26198779313105097,0.9277905961562494,0.16656424098702,-0.030843647498588173,0.02151483212260757,-0.015738294933205523,0.8625318204483116,-0.4913547612130621,0.12086917451267838,0.4809244818858096,0.721783752684269,-0.4977347256158441,0.12492318074026501,-0.023132735623941133,0.016136124091955677,-0.011803721199904145,-0.0055940532,-0.02734001838,0.012839716740000064,0.8604997003515101,-0.4985207138224331,0.10496362981973027,0.48695717254808846,0.7443134965850623,-0.4570231185676387,-0.24132261898120452,0.011979338409265827,-0.2638307132907792,0.9338164936130693
../raw_mocap_data/Case1.csv,1749907678.5,0.01702516038418793,-0.0031526457442791807,0.0021991122785761487,-0.001608670587538395,0.0860524544,-0.1517770023,1.2276593505,-0.009323421999999998,-0.04556669729999999,0.021399527900000104,-0.2894365886993767,0.007659961821640117,-0.2599805780501453,0.9211828728019595,0.20820530123377498,-0.038554559373235216,0.02689354015325946,-0.019672868666506905,0.8647028480432066,-0.4834134579603398,0.13638333200502867,0.47454516508344785,0.6972731203175603,-0.5372309391486462,0.16656424098702,-0.030843647498588173,0.02151483212260757,-0.015738294933205523,-0.0074587375999999985,-0.03645335784,0.017119622320000083,0.8625318204483116,-0.4913547612130621,0.12086917451267838,0.4809244818858096,0.721783752684269,-0.4977347256158441,-0.2654628409178715,0.009822730077012362,-0.26198779313105097,0.9277905961562494
../raw_mocap_data/Case1.csv,1749907678.6,0.020430192461025516,-0.0037831748931350176,0.002638934734291379,-0.0019304047050460744,0.08418777,-0.16089034176,1.23193925608,-0.0111881064,-0.05468003676,0.025679433480000128,-0.31322882817105624,0.005492389934737288,-0.257810326790844,0.9139974673134439,0.24984636148053002,-0.046265471247882266,0.032272248183911355,-0.02360744239980829,0.867007338105606,-0.47471672119439795,0.1514671921224908,0.46783522174193287,0.6708430732051702,-0.5754127009636812,0.20820530123377498,-0.038554559373235216,0.02689354015325946,-0.019672868666506905,-0.009323421999999998,-0.04556669729999999,0.021399527900000104,0.8647028480432066,-0.4834134579603398,0.13638333200502867,0.47454516508344785,0.6972731203175603,-0.5372309391486462,-0.2894365886993767,0.007659961821640117,-0.2599805780501453,0.9211828728019595
../raw_mocap_data/Case1.csv,1749907678.7,0.023835224537863103,-0.004413704041990854,0.0030787571900066086,-0.0022521388225537533,0.08232308560000001,-0.17000368121999998,1.23621916166,-0.013052790799999998,-0.06379337622,0.02995933906000015,-0.33682463900375276,0.003321373720293022,-0.25547840033739466,0.9062388857236527,0.291487421727285,-0.05397638312252931,0.03765095621456325,-0.027542016133109668,0.8694395108753122,-0.46528636270511214,0.16608292389509804,0.4608114806877751,0.6425598990420751,-0.6121842495600313,0.24984636148053002,-0.046265471247882266,0.032272248183911355,-0.02360744239980829,-0.0111881064,-0.05468003676,0.025679433480000128,0.867007338105606,-0.47471672119439795,0.1514671921224908,0.46783522174193287,0.6708430732051702,-0.5754127009636812,-0.31322882817105624,0.005492389934737288,-0.257810326790844,0.9139974673134439
../raw_mocap_data/Case1.csv,1749907678.8,0.027240256614700687,-0.0050442331908466895,0.003518579645721838,-0.0025738729400614324,0.0804584012,-0.17911702067999996,1.24049906724,-0.014917475199999997,-0.07290671568,0.034239244640000166,-0.36020922405049033,0.0011482746422654747,-0.252986261062026,0.8979119935094676,0.33312848197404,-0.061687294997176345,0.04302966424521514,-0.031476589866411046,0.8719932663584049,-0.4551460342371953,0.1801938704389084,0.45349155776564615,0.6124945332456004,-0.6474533603121867,0.291487421727285,-0.05397638312252931,0.03765095621456325,-0.027542016133109668,-0.013052790799999998,-0.06379337622,0.02995933906000015,0.8694395108753122,-0.46528636270511214,0.16608292389509804,0.4608114806877751,0.6425598990420751,-0.6121842495600313,-0.33682463900375276,0.003321373720293022,-0.25547840033739466,0.9062388857236527
../raw_mocap_data/Case1.csv,1749907678.9,0.030645288691538274,-0.0056747623397025255,0.003958402101437068,-0.002895607057569111,0.0785937168,-0.18823036013999997,1.24477897282,-0.016782159599999995,-0.08202005513999999,0.03851915022000019,-0.38336791862589903,-0.0010255445292045307,-0.25033547180787996,0.8890220125405169,0.37476954222079495,-0.0693982068718234,0.04840837227586703,-0.03541116359971243,0.8746621996262898,-0.44432116817060396,0.1937646408930454,0.4458938116570812,0.5807223810463447,-0.681131576773375,0.33312848197404,-0.061687294997176345,0.04302966424521514,-0.031476589866411046,-0.014917475199999997,-0.07290671568,0.034239244640000166,0.8719932663584049,-0.4551460342371953,0.1801938704389084,0.45349155776564615,0.6124945332456004,-0.6474533603121867,-0.36020922405049033,0.0011482746422654747,-0.252986261062026,0.8979119935094676
../raw_mocap_data/Case1.csv,1749907679.0,0.03405032076837586,-0.0063052914885583615,0.0043982245571522974,-0.00321734117507679,0.07672903240000001,-0.19734369959999998,1.2490588784,-0.018646843999999996,-0.09113339459999999,0.04279905580000021,-0.40628619970257235,-0.0031987205723990886,-0.24752769490893914,0.879574517804494,0.41641060246754996,-0.07710911874647043,0.05378708030651892,-0.03934573733301381,0.8774396168795338,-0.4328389137350353,0.20676119918149982,0.43803729783611717,0.5473231283686173,-0.7131344325281336,0.37476954222079495,-0.0693982068718234,0.04840837227586703,-0.03541116359971243,-0.016782159599999995,-0.08202005513999999,0.03851915022000019,0.8746621996262898,-0.44432116817060396,0.1937646408930454,0.4458938116570812,0.5807223810463447,-0.681131576773375,-0.38336791862589903,-0.0010255445292045307,-0.25033547180787996,0.8890220125405169
